"RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","Type","hardness","color","tranparency","id","density","thermal_exp"
1.51593,13.25,3.45,1.43,73.17,0.61,7.86,0,0,"2",4,"WH","TL","id1",2.80178326927854,10.7459212990869
1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0,0,"2",4,"WH","TP","id2",2.60064946771653,7.94195691943494
1.52177,13.2,3.68,1.15,72.75,0.54,8.52,0,0,"2",5,"CL","TP","id3",2.1522414575297,9.88003706226378
1.51818,13.72,0,0.56,74.45,0,10.99,0,0,"2",7,"CL","TL","id4",2.28959729250673,11.4190149527221
1.51829,13.24,3.9,1.41,72.33,0.55,8.31,0,0.1,"2",6,"CL","TL","id5",2.44372533529631,6.0715857642548
1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0,0.17,"3",4,"CL","TP","id6",2.50486535023778,10.6079872792838
1.51926,13.2,3.33,1.28,72.36,0.6,9.14,0,0.11,"1",1,"CL","TL","id7",2.4587599679414,7.55294217542494
1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0,0,"3",7,"WH","TP","id8",2.56699814103372,10.6827942235507
1.51852,14.09,2.19,1.66,72.67,0,9.32,0,0,"4",5,"OT","TP","id9",2.49725237593412,9.49070309594384
1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0,0,"1",3,"CL","TL","id10",2.29597554737298,5.19716217061024
1.5169,13.33,3.54,1.61,72.54,0.68,8.11,0,0,"2",3,"CL","TP","id11",2.57431564217961,6.54876355982736
1.51627,13,3.58,1.54,72.83,0.61,8.04,0,0,"2",5,"CL","TL","id12",2.63753979211231,8.02408134484157
1.51736,12.78,3.62,1.29,72.79,0.59,8.7,0,0,"1",5,"CL","TP","id13",2.22159422404574,5.59756301150258
1.51824,12.87,3.48,1.29,72.95,0.6,8.43,0,0,"1",5,"CL","TL","id14",2.3078089403554,8.62900366010971
1.52081,13.78,2.28,1.43,71.99,0.49,9.85,0,0.17,"2",2,"CL","TL","id15",2.46691716923831,9.54214117933764
1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0,0,"1",4,"CL","TP","id16",1.99062371077434,9.73889079276246
1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0,0.22,"2",6,"CL","TP","id17",2.10829744635477,7.74138458725155
1.51707,13.48,3.48,1.71,72.52,0.62,7.99,0,0,"2",5,"CL","TP","id18",2.67938914756544,7.32270696030192
1.51915,12.73,1.85,1.86,72.69,0.6,10.09,0,0,"4",3,"WH","TP","id19",2.41962195169655,8.45217366314417
1.51687,13.23,3.54,1.48,72.84,0.56,8.1,0,0,"2",3,"CL","TP","id20",2.54629127260307,8.97397603160347
1.52247,14.86,2.2,2.06,70.26,0.76,9.76,0,0,"5",7,"CL","TP","id21",2.5750468992983,7.41521037391258
1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0,"4",3,"OT","OP","id22",2.65486364016498,6.95800952165487
1.5167,13.24,3.57,1.38,72.7,0.56,8.44,0,0.1,"3",1,"CL","TP","id23",2.5474280304552,5.86369221062694
1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0,0.24,"2",7,"CL","TL","id24",2.73165572161792,7.47545659244873
1.51764,12.98,3.54,1.21,73,0.65,8.53,0,0,"1",1,"CL","TP","id25",2.8816167669284,12.077368990049
1.51784,13.08,3.49,1.28,72.86,0.6,8.49,0,0,"1",4,"CL","TP","id26",2.84512579730126,10.0999642704497
1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0,0,"1",3,"CL","TL","id27",2.48305024301028,10.6142685262102
1.51617,14.95,0,2.27,73.3,0,8.71,0.67,0,"5",3,"CL","TP","id28",2.44206516540377,9.63245006614147
1.52172,13.48,3.74,0.9,72.01,0.18,9.61,0,0.07,"1",2,"CL","TL","id29",2.15312059315014,8.25431527050669
1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0,0.09,"3",2,"CL","TP","id30",2.56778394679054,6.83965201273472
1.53393,12.3,0,1,70.16,0.12,16.19,0,0.24,"2",3,"CL","TP","id31",2.79621540382106,9.2924783823422
1.51888,14.99,0.78,1.74,72.5,0,9.95,0,0,"4",7,"OT","TL","id32",2.76223162713524,7.22910702882292
1.51321,13,0,3.02,70.7,6.21,6.93,0,0,"4",3,"OT","TP","id33",2.67516806802616,9.93356455629944
1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0,0,"1",6,"CL","TP","id34",2.31387793815128,9.02856477602298
1.51316,13.02,0,3.04,70.48,6.21,6.96,0,0,"4",4,"CL","TP","id35",2.36265960765107,6.50913818792101
1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,"2",3,"CL","TP","id36",2.74325329622787,5.98273736283571
1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0,0.14,"2",7,"CL","TL","id37",2.43132635596392,10.9310509050878
1.51732,14.95,0,1.8,72.99,0,8.61,1.55,0,"5",3,"OT","OP","id38",2.85342824757384,8.8131753290545
1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0,0,"2",5,"CL","TP","id39",2.13512895609269,9.83541341581578
