RI	Na	Mg	Al	Si	K	Ca	Ba	Fe	Type	hardness	color	tranparency	id	density	thermal_exp
1.51727	14.7	0	2.34	73.28	0	8.95	0.66	0	5	2	OT	OP	id1	2.18270580227876	7.51880820166285
1.51667	12.94	3.61	1.26	72.75	0.56	8.6	0	0	2	6	CL	TP	id2	2.39117046536045	9.71084168369501
1.51623	14.14	0	2.88	72.61	0.08	9.18	1.06	0	5	7	OT	OP	id3	2.83061225637236	7.07672615193941
1.5159	12.82	3.52	1.9	72.86	0.69	7.97	0	0	2	7	CL	TP	id4	2.65703389453479	9.80839982349497
1.51994	13.27	0	1.76	73.03	0.47	11.32	0	0	4	2	OT	TP	id5	2.44861147256364	9.73824604866574
1.51531	14.38	0	2.66	73.1	0.04	9.08	0.64	0	5	1	WH	TL	id6	2.29101686518564	9.89583587467418
1.51589	12.88	3.43	1.4	73.28	0.69	8.05	0	0.24	1	5	WH	TL	id7	2.45571268011877	8.14666819870273
1.51131	13.69	3.2	1.81	72.81	1.76	5.43	1.19	0	5	3	CL	TP	id8	2.6226809252184	7.34522419755002
1.51768	12.65	3.56	1.3	73.08	0.61	8.69	0	0.14	1	4	CL	TP	id9	2.39420661650875	8.99323246268754
1.52151	11.03	1.71	1.56	73.44	0.58	11.62	0	0	4	4	OT	OP	id10	2.6210512261028	9.21975421277428
1.51508	15.15	0	2.25	73.5	0	8.34	0.63	0	5	7	OT	OP	id11	2.41359472450453	9.28388664593914
1.51709	13	3.47	1.79	72.72	0.66	8.18	0	0	2	7	CL	TP	id12	2.24332146869896	7.97514117085708
1.51806	13	3.8	1.08	73.07	0.56	8.38	0	0.12	2	2	WH	TP	id13	2.28131920160178	10.6852922297614
1.51321	13	0	3.02	70.7	6.21	6.93	0	0	4	3	OT	TP	id14	2.67516806802616	9.93356455629944
1.51618	13.01	3.5	1.48	72.89	0.6	8.12	0	0	2	7	CL	TP	id15	2.73515985033525	7.71277824351938
1.51754	13.48	3.74	1.17	72.99	0.59	8.03	0	0	1	7	CL	TL	id16	2.52679125631391	8.75461225241502
1.51779	13.64	3.65	0.65	73	0.06	8.93	0	0	3	2	CL	TP	id17	2.69788219982943	7.73605155164833
1.52227	14.17	3.81	0.78	71.35	0	9.69	0	0	1	4	CL	TP	id18	2.44175856238158	7.79832896367766
1.52152	13.12	3.58	0.9	72.2	0.23	9.82	0	0.16	1	6	CL	TP	id19	2.2993361028816	6.56840285592931
1.51766	13.21	3.69	1.29	72.61	0.57	8.22	0	0	1	3	CL	TL	id20	2.48305024301028	10.6142685262102
1.51905	14	2.39	1.56	72.37	0	9.57	0	0	4	1	CL	TP	id21	2.12824629622588	6.21189211348576
1.52777	12.64	0	0.67	72.02	0.06	14.4	0	0	2	4	WH	TP	id22	2.43040411506161	10.6082313240297
1.51711	14.23	0	2.08	73.36	0	8.62	1.67	0	5	7	CL	TP	id23	2.43448173773879	6.4118769162341
1.5166	12.99	3.18	1.23	72.97	0.58	8.81	0	0.24	2	7	CL	TL	id24	2.73165572161792	7.47545659244873
1.51736	12.78	3.62	1.29	72.79	0.59	8.7	0	0	1	5	CL	TP	id25	2.22159422404574	5.59756301150258
1.51596	13.02	3.56	1.54	73.11	0.72	7.9	0	0	2	2	WH	TL	id26	2.58867960346315	10.9230993690425
1.52196	14.36	3.85	0.89	71.36	0.15	9.15	0	0	1	4	CL	TP	id27	2.54351286766158	9.61872176538371
1.5241	13.83	2.9	1.17	71.15	0.08	10.79	0	0	2	6	CL	TP	id28	2.69916661788192	10.1060828251282
1.51841	13.02	3.62	1.06	72.34	0.64	9.13	0	0.15	2	5	CL	TL	id29	2.30823093748527	6.04531976834364
1.51909	13.89	3.53	1.32	71.81	0.51	8.78	0.11	0	1	4	CL	TP	id30	2.61869857014557	8.5556566280159
1.51316	13.02	0	3.04	70.48	6.21	6.96	0	0	4	4	CL	TP	id31	2.36265960765107	6.50913818792101
1.51643	12.16	3.52	1.35	72.89	0.57	8.53	0	0	3	2	CL	TL	id32	2.18802597308256	7.06334998481973
1.51629	12.71	3.33	1.49	73.28	0.67	8.24	0	0	2	5	CL	TP	id33	2.13512895609269	9.83541341581578
1.51898	13.58	3.35	1.23	72.08	0.59	8.91	0	0	1	2	CL	TP	id34	2.58529688711139	8.79257845636966
1.51829	13.24	3.9	1.41	72.33	0.55	8.31	0	0.1	2	6	CL	TL	id35	2.44372533529631	6.0715857642548
1.51708	13.72	3.68	1.81	72.06	0.64	7.88	0	0	2	1	CL	TP	id36	2.734185255041	9.02326526792408
1.51796	13.5	3.36	1.63	71.94	0.57	8.81	0	0.09	3	2	CL	TP	id37	2.56778394679054	6.83965201273472
1.51623	14.2	0	2.79	73.46	0.04	9.04	0.4	0.09	5	3	OT	OP	id38	2.93610079707848	11.863456298086
1.51645	14.94	0	1.87	73.11	0	8.67	1.38	0	5	2	CL	TP	id39	2.41146342053984	10.4057880979343
1.51754	13.39	3.66	1.19	72.79	0.57	8.27	0	0.11	1	4	WH	TP	id40	2.30018945540614	10.3085408403124
1.52065	14.36	0	2.02	73.42	0	8.44	1.64	0	5	4	OT	OP	id41	2.65613365417156	10.6524209297502
1.52475	11.45	0	1.88	72.19	0.81	13.24	0	0.34	2	4	CL	TP	id42	2.61236577818922	9.68206401262526
1.51711	12.89	3.62	1.57	72.96	0.61	8.11	0	0	2	4	WH	TP	id43	2.60064946771653	7.94195691943494
1.51829	14.46	2.24	1.62	72.38	0	9.26	0	0	4	6	OT	TP	id44	2.80032676398939	5.45867950919056
1.5221	13.73	3.84	0.72	71.76	0.17	9.74	0	0	1	1	CL	TP	id45	2.56134282042954	11.2516261390992
1.5173	12.35	2.72	1.63	72.87	0.7	9.23	0	0	2	2	CL	TP	id46	2.40123135287718	5.49553724943542
